region_code,code,count
84,1,0
32,2,0
84,3,5
93,4,0
93,5,1
93,6,0
84,7,0
44,8,1
76,9,1
44,10,0
76,11,1
76,12,2
93,13,0
28,14,1
84,15,0
75,16,0
75,17,3
24,18,0
75,19,0
27,21,1
53,22,14
75,23,0
75,24,1
27,25,0
84,26,0
28,27,0
24,28,5
53,29,3
76,30,1
76,31,0
76,32,1
75,33,2
76,34,1
53,35,6
24,36,1
24,37,0
84,38,0
27,39,0
75,40,0
24,41,0
84,42,0
84,43,0
52,44,0
24,45,4
76,46,1
75,47,0
76,48,1
52,49,2
28,50,1
44,51,2
44,52,2
52,53,0
44,54,1
44,55,2
53,56,5
44,57,2
27,58,0
32,59,4
32,60,1
28,61,0
32,62,7
84,63,0
75,64,0
76,65,0
76,66,1
44,67,0
44,68,2
84,69,0
27,70,1
27,71,0
52,72,0
84,73,0
84,74,0
11,75,25
28,76,2
11,77,12
11,78,12
75,79,2
32,80,2
76,81,1
76,82,0
93,83,0
93,84,0
52,85,0
75,86,0
75,87,0
44,88,0
27,89,0
27,90,0
11,91,2
11,92,12
11,93,11
11,94,3
94,2A,0
94,2B,0
